operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QLowMC.SBox, 60, 6, 21, 0, 0, 1, 6, 7, in_place = false, 11
QLowMC.InPlace.SBox, 50, 6, 21, 0, 0, 3, 3, 4, in_place = true, 23
QLowMC.SBoxLayer, 600, 60, 210, 0, 0, 1, 62, 7, in_place = false - L0, 11
QLowMC.InPlace.SBoxLayer, 500, 60, 210, 0, 0, 3, 32, 4, in_place = true - L0, 23
QLowMC.SBoxLayer, 600, 60, 210, 0, 0, 1, 158, 7, in_place = false - L1, 11
QLowMC.InPlace.SBoxLayer, 500, 60, 210, 0, 0, 3, 128, 4, in_place = true - L1, 23
QLowMC.SBoxLayer, 600, 60, 210, 0, 0, 1, 222, 7, in_place = false - L3, 11
QLowMC.InPlace.SBoxLayer, 500, 60, 210, 0, 0, 3, 192, 4, in_place = true - L3, 23
QLowMC.SBoxLayer, 600, 60, 210, 0, 0, 1, 286, 7, in_place = false - L5, 11
QLowMC.InPlace.SBoxLayer, 500, 60, 210, 0, 0, 3, 256, 4, in_place = true - L5, 23
QLowMC.InPlace.L0.KeyExpansion, 436, 0, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 0, 184
QLowMC.InPlace.L0.KeyExpansion, 496, 0, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 1, 190
QLowMC.InPlace.L0.AffineLayer, 486, 11, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 1, 196
QLowMC.Round, 1614, 71, 210, 0, 0, 1, 94, 7, in_place = true - L0 - round 1, 205
QLowMC.InPlace.L0.KeyExpansion, 488, 0, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 2, 178
QLowMC.InPlace.L0.AffineLayer, 503, 20, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 2, 196
QLowMC.Round, 1623, 80, 210, 0, 0, 1, 94, 7, in_place = true - L0 - round 2, 205
QLowMC.InPlace.L0.KeyExpansion, 477, 0, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 3, 179
QLowMC.InPlace.L0.AffineLayer, 476, 13, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 3, 192
QLowMC.Round, 1585, 73, 210, 0, 0, 1, 94, 7, in_place = true - L0 - round 3, 202
QLowMC.InPlace.L0.KeyExpansion, 488, 0, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 4, 178
QLowMC.InPlace.L0.AffineLayer, 489, 17, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 4, 179
QLowMC.Round, 1609, 77, 210, 0, 0, 1, 94, 7, in_place = true - L0 - round 4, 190
QLowMC.InPlace.L0.KeyExpansion, 471, 0, 0, 0, 0, 0, 32, 0, in_place = true - L0 - round 5, 163
