operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QGF256.Mul, 1045, 128, 448, 0, 0, 28, 24, 4, unrolled = false, 211
QGF256.UnrolledMul, 1045, 128, 448, 0, 0, 28, 24, 4, unrolled = true, 203
QGF256.Square, 21, 0, 0, 0, 0, 0, 16, 0, in_place = false, 9
QGF256.InPlace.Square, 12, 0, 0, 0, 0, 0, 8, 0, in_place = true, 7
QGF256.Fourth, 30, 0, 0, 0, 0, 0, 16, 0, in_place = false, 13
QGF256.InPlace.Fourth, 21, 0, 0, 0, 0, 0, 8, 0, in_place = true, 11
QGF256.Sixteenth, 51, 0, 0, 0, 0, 0, 16, 0, in_place = false, 20
QGF256.InPlace.SixtyFourth, 24, 0, 0, 0, 0, 0, 8, 0, in_place = true, 16
GLRS16.SBox, 8683, 1028, 3584, 0, 0, 217, 16, 28, tower_field = false, 1692
BoyarPeralta11.SBox, 658, 187, 136, 0, 47, 6, 16, 121, tower_field = true, 99
QAES.ByteSub, 10696, 3250, 2176, 0, 836, 6, 256, 121, state size is the same for all, 105
QAES.InPlace.ShiftRow, 0, 0, 0, 0, 0, 0, 128, 0, in_place = true - state size is the same for all, 0
QAES.InPlace.MixWord, 277, 0, 0, 0, 0, 0, 32, 0, in_place = true, 111
MaximovMixColumn.MixWord, 312, 0, 0, 0, 0, 0, 64, 62, in_place = false, 22
QAES.InPlace.MixColumn, 1108, 0, 0, 0, 0, 0, 128, 0, widest = true - state size is the same for all, 111
MaximovMixColumn.MixColumn, 1248, 0, 0, 0, 0, 0, 256, 62, widest = false - state size is the same for all, 22
QAES.Widest.AddRoundKey, 128, 0, 0, 0, 0, 0, 256, 0, widest = true - state size is the same for all, 1
QAES.InPlace.KeyExpansion, 2762, 807, 544, 0, 205, 6, 1408, 121, $KE_0^(Nk-1)$ - round 1, 108
QAES.InPlace.KeyExpansion, 2766, 808, 544, 0, 207, 6, 1408, 121, $KE_0^(Nk-1)$ - round 2, 100
QAES.InPlace.KeyExpansion, 2752, 781, 544, 0, 200, 6, 1408, 121, $KE_0^(Nk-1)$ - round 3, 108
QAES.InPlace.KeyExpansion, 2762, 805, 544, 0, 205, 6, 1408, 121, $KE_0^(Nk-1)$ - round 4, 108
QAES.InPlace.KeyExpansion, 2774, 821, 544, 0, 211, 6, 1408, 121, $KE_0^(Nk-1)$ - round 5, 102
QAES.InPlace.KeyExpansion, 2766, 807, 544, 0, 207, 6, 1408, 121, $KE_0^(Nk-1)$ - round 6, 102
QAES.InPlace.KeyExpansion, 2736, 760, 544, 0, 192, 6, 1408, 121, $KE_0^(Nk-1)$ - round 7, 108
QAES.InPlace.KeyExpansion, 2766, 808, 544, 0, 207, 6, 1408, 121, $KE_0^(Nk-1)$ - round 8, 104
QAES.InPlace.KeyExpansion, 2760, 798, 544, 0, 204, 6, 1408, 121, $KE_0^(Nk-1)$ - round 9, 104
QAES.InPlace.KeyExpansion, 2758, 802, 544, 0, 203, 6, 1408, 121, $KE_0^(Nk-1)$ - round 10, 104
QAES.InPlace.KeyExpansion, 2712, 829, 544, 0, 212, 6, 1664, 121, $KE_0^(Nk/3-1)$ - round 1, 103
QAES.InPlace.KeyExpansion, 128, 0, 0, 0, 0, 0, 1664, 0, $KE_2^(Nk-1)$ - round 2, 4
QAES.InPlace.KeyExpansion, 2742, 765, 544, 0, 195, 6, 1664, 121, $KE_0^(2 Nk/3-1)$ - round 3, 103
QAES.InPlace.KeyExpansion, 64, 0, 0, 0, 0, 0, 1664, 0, $KE_(2*Nk/3)^(Nk-1)$ - round 4, 2
QAES.InPlace.KeyExpansion, 2698, 805, 544, 0, 205, 6, 1664, 121, $KE_0^(Nk/3-1)$ - round 4, 103
QAES.InPlace.KeyExpansion, 128, 0, 0, 0, 0, 0, 1664, 0, $KE_2^(Nk-1)$ - round 5, 4
