operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QGF256.Mul, 1045, 128, 448, 0, 0, 28, 24, 4, unrolled = false, 211
QGF256.UnrolledMul, 1045, 128, 448, 0, 0, 28, 24, 4, unrolled = true, 203
QGF256.Square, 21, 0, 0, 0, 0, 0, 16, 0, in_place = false, 9
QGF256.InPlace.Square, 12, 0, 0, 0, 0, 0, 8, 0, in_place = true, 7
QGF256.Fourth, 30, 0, 0, 0, 0, 0, 16, 0, in_place = false, 13
QGF256.InPlace.Fourth, 21, 0, 0, 0, 0, 0, 8, 0, in_place = true, 11
QGF256.Sixteenth, 51, 0, 0, 0, 0, 0, 16, 0, in_place = false, 20
QGF256.InPlace.SixtyFourth, 24, 0, 0, 0, 0, 0, 8, 0, in_place = true, 16
GLRS16.SBox, 8683, 1028, 3584, 0, 0, 217, 16, 28, tower_field = false, 1692
LPS19.SBox, 818, 264, 164, 0, 41, 35, 16, 25, tower_field = true, 497
BoyarPeralta11.SBox, 654, 184, 136, 0, 34, 6, 16, 121, tower_field = true, 101
QAES.ByteSub, 10642, 3300, 2176, 0, 544, 6, 256, 121, state size is the same for all, 107
QAES.InPlace.ShiftRow, 0, 0, 0, 0, 0, 0, 128, 0, in_place = true - state size is the same for all, 0
QAES.InPlace.MixWord, 277, 0, 0, 0, 0, 0, 32, 0, in_place = true, 111
MaximovMixColumn.MixWord, 312, 0, 0, 0, 0, 0, 64, 62, in_place = false, 22
QAES.InPlace.MixColumn, 1108, 0, 0, 0, 0, 0, 128, 0, widest = true - state size is the same for all, 111
MaximovMixColumn.MixColumn, 1248, 0, 0, 0, 0, 0, 256, 62, widest = false - state size is the same for all, 22
QAES.Widest.AddRoundKey, 128, 0, 0, 0, 0, 0, 256, 0, widest = true - state size is the same for all, 1
QAES.InPlace.KeyExpansion, 2748, 809, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 1, 102
QAES.InPlace.KeyExpansion, 2742, 797, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 2, 102
QAES.InPlace.KeyExpansion, 2760, 833, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 3, 108
QAES.InPlace.KeyExpansion, 2766, 845, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 4, 102
QAES.InPlace.KeyExpansion, 2758, 829, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 5, 104
QAES.InPlace.KeyExpansion, 2786, 885, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 6, 108
QAES.InPlace.KeyExpansion, 2762, 837, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 7, 104
QAES.InPlace.KeyExpansion, 2764, 841, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 8, 104
QAES.InPlace.KeyExpansion, 2758, 832, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 9, 104
QAES.InPlace.KeyExpansion, 2760, 836, 544, 0, 136, 6, 1408, 121, $KE_0^(Nk-1)$ - round 10, 105
QAES.InPlace.KeyExpansion, 2706, 853, 544, 0, 136, 6, 1664, 121, $KE_0^(Nk/3-1)$ - round 1, 103
QAES.InPlace.KeyExpansion, 128, 0, 0, 0, 0, 0, 1664, 0, $KE_2^(Nk-1)$ - round 2, 4
QAES.InPlace.KeyExpansion, 2754, 821, 544, 0, 136, 6, 1664, 121, $KE_0^(2 Nk/3-1)$ - round 3, 101
QAES.InPlace.KeyExpansion, 64, 0, 0, 0, 0, 0, 1664, 0, $KE_(2*Nk/3)^(Nk-1)$ - round 4, 2
QAES.InPlace.KeyExpansion, 2684, 809, 544, 0, 136, 6, 1664, 121, $KE_0^(Nk/3-1)$ - round 4, 103
